# LAMMPS data file written by OVITO Basic 3.5.4
16524 atoms
4 atom types
0.0 79.029 xlo xhi
0.0 79.029 ylo yhi
0.0 79.029 zlo zhi
0.00000 0.00000 0.0000 xy xz yz

Masses

1 12.0107  # C
2 63.546  # Cu
3 1.00794  # H
4 15.9994  # O

Atoms  # charge

1 1 0.0 8.48218257 4.68879057 23.36571414
2 1 0.0 17.86134429 4.68879057 2.97702243
3 1 0.0 8.48218257 21.653946 2.97702243
4 1 0.0 23.36571414 8.48218257 4.68879057
5 1 0.0 2.97702243 17.86134429 4.68879057
6 1 0.0 2.97702243 8.48218257 21.653946
7 1 0.0 4.68879057 23.36571414 8.48218257
8 1 0.0 21.653946 23.36571414 17.86134429
9 1 0.0 4.68879057 2.97702243 17.86134429
10 1 0.0 21.653946 2.97702243 8.48218257
11 1 0.0 4.68879057 8.48218257 2.97702243
12 1 0.0 4.68879057 17.86134429 23.36571414
13 1 0.0 21.653946 8.48218257 23.36571414
14 1 0.0 8.48218257 23.36571414 21.653946
15 1 0.0 17.86134429 23.36571414 4.68879057
16 1 0.0 17.86134429 2.97702243 21.653946
17 1 0.0 8.48218257 2.97702243 4.68879057
18 1 0.0 23.36571414 4.68879057 17.86134429
19 1 0.0 23.36571414 21.653946 8.48218257
20 1 0.0 2.97702243 4.68879057 8.48218257
21 1 0.0 2.97702243 21.653946 17.86134429
22 1 0.0 17.86134429 21.653946 2.97702243
23 1 0.0 8.48218257 4.68879057 2.97702243
24 1 0.0 8.48218257 21.653946 23.36571414
25 1 0.0 17.86134429 4.68879057 23.36571414
26 1 0.0 2.97702243 17.86134429 21.653946
27 1 0.0 2.97702243 8.48218257 4.68879057
28 1 0.0 23.36571414 8.48218257 21.653946
29 1 0.0 21.653946 2.97702243 17.86134429
30 1 0.0 4.68879057 2.97702243 8.48218257
31 1 0.0 21.653946 23.36571414 8.48218257
32 1 0.0 4.68879057 23.36571414 17.86134429
33 1 0.0 4.68879057 8.48218257 23.36571414
34 1 0.0 21.653946 8.48218257 2.97702243
35 1 0.0 4.68879057 17.86134429 2.97702243
36 1 0.0 17.86134429 2.97702243 4.68879057
37 1 0.0 8.48218257 2.97702243 21.653946
38 1 0.0 8.48218257 23.36571414 4.68879057
39 1 0.0 2.97702243 21.653946 8.48218257
40 1 0.0 2.97702243 4.68879057 17.86134429
41 1 0.0 23.36571414 21.653946 17.86134429
42 1 0.0 23.36571414 4.68879057 8.48218257
43 1 0.0 8.48218257 17.86134429 10.194741
44 1 0.0 17.86134429 8.48218257 10.194741
45 1 0.0 17.86134429 17.86134429 16.14799557
46 1 0.0 8.48218257 8.48218257 16.14799557
47 1 0.0 4.68879057 10.194741 21.653946
48 1 0.0 21.653946 10.194741 4.68879057
49 1 0.0 4.68879057 16.14799557 4.68879057
50 1 0.0 4.68879057 21.653946 16.14799557
51 1 0.0 21.653946 4.68879057 16.14799557
52 1 0.0 4.68879057 4.68879057 10.194741
53 1 0.0 21.653946 21.653946 10.194741
54 1 0.0 8.48218257 10.194741 8.48218257
55 1 0.0 17.86134429 16.14799557 8.48218257
56 1 0.0 8.48218257 16.14799557 17.86134429
57 1 0.0 8.48218257 17.86134429 16.14799557
58 1 0.0 8.48218257 8.48218257 10.194741
59 1 0.0 17.86134429 17.86134429 10.194741
60 1 0.0 4.68879057 16.14799557 21.653946
61 1 0.0 21.653946 10.194741 21.653946
62 1 0.0 4.68879057 10.194741 4.68879057
63 1 0.0 21.653946 4.68879057 10.194741
64 1 0.0 4.68879057 21.653946 10.194741
65 1 0.0 21.653946 21.653946 16.14799557
66 1 0.0 4.68879057 4.68879057 16.14799557
67 1 0.0 17.86134429 16.14799557 17.86134429
68 1 0.0 8.48218257 16.14799557 8.48218257
69 1 0.0 8.48218257 10.194741 17.86134429
70 1 0.0 17.86134429 10.194741 8.48218257
71 1 0.0 10.194741 8.48218257 17.86134429
72 1 0.0 10.194741 17.86134429 8.48218257
73 1 0.0 16.14799557 17.86134429 17.86134429
74 1 0.0 16.14799557 8.48218257 8.48218257
75 1 0.0 10.194741 4.68879057 4.68879057
76 1 0.0 10.194741 21.653946 21.653946
77 1 0.0 16.14799557 4.68879057 21.653946
78 1 0.0 16.14799557 21.653946 4.68879057
79 1 0.0 16.14799557 17.86134429 8.48218257
80 1 0.0 10.194741 8.48218257 8.48218257
81 1 0.0 10.194741 17.86134429 17.86134429
82 1 0.0 16.14799557 4.68879057 4.68879057
83 1 0.0 10.194741 21.653946 4.68879057
84 1 0.0 10.194741 4.68879057 21.653946
85 1 0.0 7.81912926 5.35263417 24.53297247
86 1 0.0 18.5243976 20.9901024 24.53297247
87 1 0.0 18.5243976 5.35263417 1.8097641
88 1 0.0 7.81912926 20.9901024 1.8097641
89 1 0.0 24.53297247 7.81912926 5.35263417
90 1 0.0 24.53297247 18.5243976 20.9901024
91 1 0.0 1.8097641 18.5243976 5.35263417
